Date,Round,Rhian,Keith,Artist,Title
2022-03-13,#16,1,4,Electric Light Orchestra,Mr Blue Sky
2022-03-15,#18,1,1,Blur ,Song 2
2022-03-16,#19,0,0,Childish Gambino,Redbone
2022-03-17,#20,-,0,Madonna,Like A Virgin
2022-03-18,#21,6,1,Daft Punk,"Harder, Better, Faster, Stronger"
2022-03-19,#22,4,6,Al Green,Let’s Stay Together
2022-03-20,#23,0,3,Bruno Mars,Locked Out of Heaven
2022-03-21,#24,0,0,Wizkid,Essence (feat. Tems) 
2022-03-22,#25,0,3,Destiny’s Child,"Independent Women, Pt. 1"
2022-03-23,#26,0,0,The Kid LOROI,Stay (with Justin Beiber)
2022-03-24,#27,6,4,Linkin Park,Numb
2022-03-25,#28,4,3,Mark Ronson,Valerie (feat. Amy Whitehouse)
2022-03-27,#30,-,1,Dolly Parton,Jolene
2022-03-28,#31,-,1,Foo Fighters,Learn to Fly
2022-04-05,#39,3,4,Spice Girls,Wannabe
2022-04-06,#40,-,0,Led Zeppelin,Immigrant Song
2022-04-07,#41,0,5,Fugees,Ready or Not
2022-04-08,#42,1,1,Abba,Dancing Queen
2022-04-09,#43,0,0,Luther Vandross,Never Too Much
2022-04-11,#45,2,3,Red Hot Chili Peppers,Californication
2022-04-13,#47,3,2,Pink,Get The Party Started
2022-04-14,#48,0,6,Camila Cabello,My Oh  My (feat. DaBaby)
2022-04-15,#49,3,3,Oasis,Wonderwall
2022-04-16,#50,0,5,Cheryl Lynn,Got To Be Real
2022-04-17,#51,1,1,Fatboy Slim,Praise You
2022-04-18,#52,5,5,Annie Lennox,Walking on Broken Glass
2022-04-19,#53,1,1,Arctic Monkeys,I Bet You Look Good on The Dancefloor
2022-04-20,#54,0,0,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)"
2022-04-21,#55,0,6,Harry Styles,Adore You
2022-04-22,#56,0,4,Shakira,"Whenever, wherever"
2022-04-23,#57,0,2,Mark Morrison,Return Of The Mack
2022-04-24,#58,0,0,Lauryn Hill,Ex-Factor
2022-04-25,#59,0,1,Rolling Stones,(I Can’t Get No) Satisfaction
2022-04-26,#60,0,0,Amerie,1 Thing
