Date,Round,Rhian,Keith,Artist,Title,tag
2022-03-13,#16,1,4,Electric Light Orchestra,Mr Blue Sky,classic rock
2022-03-15,#18,1,1,Blur,Song 2,britpop
2022-03-16,#19,0,0,Childish Gambino,Redbone,Hip-Hop
2022-03-17,#20,NA,0,Madonna,Like A Virgin,pop
2022-03-18,#21,6,1,Daft Punk,"Harder, Better, Faster, Stronger",electronic
2022-03-19,#22,4,6,Al Green,Let’s Stay Together,soul
2022-03-20,#23,0,3,Bruno Mars,Locked Out of Heaven,pop
2022-03-21,#24,0,0,Wizkid,Essence (feat. Tems),Hip-Hop
2022-03-22,#25,0,3,Destiny’s Child,"Independent Women, Pt. 1",rnb
2022-03-23,#26,0,0,The Kid LOROI,Stay (with Justin Beiber),NA
2022-03-24,#27,6,4,Linkin Park,Numb,rock
2022-03-25,#28,4,3,Mark Ronson,Valerie (feat. Amy Whitehouse),funk
2022-03-27,#30,NA,1,Dolly Parton,Jolene,country
2022-03-28,#31,NA,1,Foo Fighters,Learn to Fly,rock
2022-04-05,#39,3,4,Spice Girls,Wannabe,pop
2022-04-06,#40,NA,0,Led Zeppelin,Immigrant Song,classic rock
2022-04-07,#41,0,5,Fugees,Ready or Not,Hip-Hop
2022-04-08,#42,1,1,Abba,Dancing Queen,pop
2022-04-09,#43,0,0,Luther Vandross,Never Too Much,soul
2022-04-11,#45,2,3,Red Hot Chili Peppers,Californication,rock
2022-04-13,#47,3,2,Pink,Get The Party Started,pop
2022-04-14,#48,0,6,Camila Cabello,My Oh  My (feat. DaBaby),pop
2022-04-15,#49,3,3,Oasis,Wonderwall,britpop
2022-04-16,#50,0,5,Cheryl Lynn,Got To Be Real,Disco
2022-04-17,#51,1,1,Fatboy Slim,Praise You,electronic
2022-04-18,#52,5,5,Annie Lennox,Walking on Broken Glass,female vocalists
2022-04-19,#53,1,1,Arctic Monkeys,I Bet You Look Good on The Dancefloor,indie rock
2022-04-20,#54,0,0,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",Hip-Hop
2022-04-21,#55,0,6,Harry Styles,Adore You,pop
2022-04-22,#56,0,4,Shakira,"Whenever, wherever",pop
2022-04-23,#57,0,2,Mark Morrison,Return Of The Mack,rnb
2022-04-24,#58,0,0,Lauryn Hill,Ex-Factor,soul
2022-04-25,#59,0,1,Rolling Stones,(I Can’t Get No) Satisfaction,classic rock
2022-04-26,#60,0,0,Amerie,1 Thing,rnb
2022-04-27,#61,2,3,Joan Jett & The Blackhearts,I Love Rock ‘N Roll,NA
2022-04-28,#62,0,0,Lisa Loeb & Nine Stories,Stay (I Missed You),female vocalists
2022-04-29,#63,2,6,Candi Station,Young Hearts Run Free,soul
2022-04-30,#64,4,4,N’Sync,It’s Gunna Be Me,NA
2022-05-01,#65,6,1,Rage Against The Machine,Killing In The Name,rock
2022-05-02,#66,0,NA,The Bangles,Manic Monday,80s
2022-05-03,#67,0,0,Busta Rhymes & Mariah Carey,I Know What You Want (Feat. Flipmode Squad),NA
2022-05-04,#68,0,3,Ed Sheeran,Shivers,acoustic
2022-05-05,#69,5,1,TLC,No Scrubs,rnb
2022-05-06,#70,0,1,Stardust,The Music Sounds Better With You,House
2022-05-07,#71,1,1,Cyndi Lauper,Girls Just Want to Have Fun,pop
2022-05-08,#72,0,0,Kate Bush,This Woman’s Work,female vocalists
2022-05-09,#73,1,1,Jamiroquai,Virtual Insanity,funk
2022-05-10,#74,1,1,Blue Oyster Cult,(Don’t Fear) The Reaper,classic rock
2022-05-11,#75,0,0,Santana,Maria Maria (feat. The Product G&B),rock
2022-05-12,#76,1,1,a-ha,Take on Me,80s
2022-05-13,#77,1,1,Electric Light Orchestra,Mr Blue Sky,classic rock
2022-05-14,#78,1,1,Toploader,Dancing in the Moonlight,pop
2022-05-15,#79,1,1,Paul Simon,You Can Call Me Al,singer-songwriter
2022-05-16,#80,0,5,Estelle,American Boy (Feat. Kanye West),rnb
2022-05-17,#81,1,0,George Michael,Freedom ’90,pop
2022-05-18,#82,1,NA,Deep Purple,Smoke on The Water,hard rock
2022-05-19,#83,5,3,Miley Cyrus,Wrecking Ball,pop
2022-05-20,#84,0,1,Justin Timberlake,Like I Love You,pop
2022-05-21,#85,0,5,Notorious B.I.G.,Juicy,Hip-Hop
2022-05-22,#86,6,3,Joy Division,Love Will Tear Us Apart,post-punk
2022-05-23,#87,2,0,Alicia Keys,If I Ain’t Got You,soul
2022-05-24,#88,6,0,Bob Dylan,Like a Rolling Stone,folk
2022-05-25,#89,3,3,Backstreet Boys,I Want It That Way,pop
2022-05-26,#90,0,2,Depeche Mode,Personal Jesus,electronic
2022-05-27,#91,0,6,Robin S,Show Me Love,House
2022-05-28,#92,1,1,Britney Spears,Toxic,pop
2022-05-30,#94,5,4,AC/DC,Back in Black,hard rock
2022-06-06,#101,NA,3,Roy Orbison,Pretty Woman,classic rock
2022-06-08,#103,NA,1,Temper Trap,Sweet Disposition,indie
2022-06-09,#104,NA,0,Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),Hip-Hop
2022-06-15,#110,5,1,One Direction,What Makes You Beautiful,pop
2022-06-16,#111,1,1,David Bowie,Let’s Dance,rock
2022-06-17,#112,2,2,Usher,Yeah!,rnb
2022-06-18,#113,0,3,Christina Aguilera,Genie in a Bottle,pop
2022-06-19,#114,1,1,Aretha Franklin,Respect,soul
2022-06-20,#115,0,NA,Goo Goo Dolls,Iris,rock
2022-06-21,#116,1,1,The Foundations,Build Me Up Buttercup,oldies
2022-06-22,#117,6,2,Chic,Good Times,Disco
2022-06-23,#118,5,NA,The Smiths,There Is a Light That Never Goes Out,indie
2022-06-26,#121,5,5,Deee-lite,Groove Is In The Heart,dance
2022-06-27,#122,0,2,The O’Jays,For the Love of Money,soul
2022-06-28,#123,1,1,Journey,Don’t Stop Believin,classic rock
2022-06-29,#124,0,1,Tones and I,Dance Monkey,pop
2022-06-30,#125,0,1,Arcade Fire,The Suburbs,indie
2022-07-01,#126,2,0,Pink Floyd,Another Brick in the Wall,Progressive rock
2022-07-02,#127,0,0,Dead or Alive,You Spin Me Round (Like a Record),new wave
